municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category
Orgaz,2625.0,1311.0,1314.0,17.034054704971417,154.10306268617825,948.0,2030.0,594.0,22.8,0.0,1.377952755,1.0,-3.8748671,39.6475279,22.8,17.034054704971417,0.6889763775,0.0125,0.002262857142857142,0.003611428571428571,2.17990854688205,0.0806999510204081,0.0806999510204081,0.6055020999858186,1.1303042489512292,1.6551063979166396,2.17990854688205,-0.0342781487828161,-0.4828772315807648,8.156963073577675,81.37090164824747,8.170818353996829,Very Low,Very High
Oria,2215.0,1145.0,1070.0,9.437156517671168,234.7105291569967,572.0,1535.0,703.0,17.555,0.0,0.0,1.0,-2.2924853,37.4841014,17.555,9.437156517671168,2.637703983157895,0.0125,0.0031738148984198637,0.002582392776523702,0.2637955338615704,0.0809358620935648,0.0809358620935648,0.1266507800355662,0.1723656979775676,0.218080615919569,0.2637955338615704,-0.0121876834781144,-0.8778502701616143,0.8122696475268469,81.60877411890996,0.8267556138314316,Very Low,Very High
Orihuela,78940.0,39105.0,39835.0,216.057357035256,365.3659430218738,26420.0,59137.0,17641.0,23.884,2.3925592064285714,1.4716533404761905,1.0,-0.9448805,38.0856891,23.884,216.057357035256,1.9321062734523808,0.0125,0.002234735241955915,0.003346845705599189,7.699607975749191,0.0738582262209518,0.0738582262209518,1.9802956636030116,3.8867331009850714,5.793170538367131,7.699607975749191,-0.0629078312504421,0.2472335579829264,29.314640013034747,74.47229379630284,29.303057376596943,Low,High
Oropesa,2626.0,1260.0,1366.0,7.80482176951366,336.45867612985006,788.0,1972.0,686.0,22.814,3.6547498,1.1875,2.0,-11.47515645,34.36812295,22.814,7.80482176951366,2.4211249,0.025,0.002612338156892612,0.003000761614623001,0.3133061457506861,0.0764302896397789,0.0764302896397789,0.1356492536675057,0.1948682176952325,0.2540871817229593,0.3133061457506861,-0.0237754416681828,-0.4979787817286806,1.0020498239520959,77.065741708477,0.9992718117131927,Very Low,High
Oroso,7530.0,3718.0,3812.0,103.4378085538722,72.79736592716237,2674.0,6293.0,1159.0,26.331,1.35131316,0.6412384316666667,1.0,-8.2808593,42.3683478,26.331,103.4378085538722,0.9962757958333333,0.0125,0.001539176626826029,0.003551128818061089,8.121988668593353,0.0539749179466287,0.0539749179466287,2.0709783556083097,4.087981793269991,6.104985230931672,8.121988668593353,-0.0695084695215918,-0.1459513670652554,30.933676404386762,54.42367292883075,30.84593611450184,Low,Medium
Ortigueira,5485.0,2594.0,2891.0,25.968274588138435,211.21926993583887,1250.0,3663.0,2141.0,23.171,0.4329004328571428,0.6347903285714286,4.0,-7.9213568,43.1404941,23.171,25.968274588138435,0.5338453807142857,0.05,0.0039033728350045573,0.002278942570647219,4.158231283867204,0.0845078439665982,0.0845078439665982,1.1029387039417498,2.1213695639169012,3.1398004238920527,4.158231283867204,0.0283896147714027,-0.4650371263401278,15.740113911866171,85.21045394652745,15.768848358438936,Very Low,Very High
Orusco de Tajuña,1291.0,661.0,630.0,60.38800346549437,21.37841832670749,382.0,909.0,293.0,23.607,4.19765166,3.4408548,1.0,-3.2083355,40.2844284,23.607,60.38800346549437,3.81925323,0.0125,0.002269558481797056,0.0029589465530596433,1.4869496106462563,0.0663155846859717,0.0663155846859717,0.42147409117604284,0.776632597666114,1.1317911041561852,1.4869496106462563,-0.0464312707378701,-0.4131285468994375,5.500767479210711,66.86694168951357,5.459384730393555,Very Low,High
Os de Balaguer,1000.0,513.0,487.0,7.390093894291978,135.31627802082303,349.0,788.0,221.0,29.009,0.0,3.2469697,1.0,0.7193399,41.8713099,29.009,7.390093894291978,1.62348485,0.0125,0.00221,0.0034899999999999996,0.5525448471346973,0.0761648874999999,0.0761648874999999,0.19525987740867426,0.31435486731734863,0.43344985722602297,0.5525448471346973,-0.0415545389783844,-0.0395120752366106,1.9190807638663396,76.79813297835858,1.9153195587686382,Very Low,High
Osorno la Mayor,1171.0,609.0,562.0,13.131074868567104,89.17777194333996,326.0,850.0,375.0,26.112,3.04347826,0.0,1.0,-4.3609815,42.4106725,26.112,13.131074868567104,1.52173913,0.0125,0.003202391118701964,0.002783945345858241,0.9271174865952247,0.0880384082739649,0.0880384082739649,0.2978081778542799,0.5075779474345948,0.7173477170149098,0.9271174865952247,-0.0122476824310456,-0.2498288822941695,3.3548630919073625,88.77037185707114,3.396669716131788,Very Low,Very High
Ossa de Montiel,2241.0,1127.0,1114.0,9.19544550950454,243.70760477930853,759.0,1763.0,589.0,21.874,0.0,0.0,1.0,-2.7453748,38.9625266,21.874,9.19544550950454,2.637703983157895,0.0125,0.002628290941543953,0.0033868808567603746,0.3204035003306114,0.0879043692246302,0.0879043692246302,0.14602915200112548,0.20415393477762078,0.2622787175541161,0.3204035003306114,-0.0226472714585912,-0.5577704415901338,1.029254844309093,88.63521838841933,1.0704610218887003,Very Low,Very High
