Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Benamaurel-18029,1.240,1.097,2.246,2.728,441,18.016,15.263,15.894,14.450
Ugíjar-18182,1.223,1.055,2.561,2.733,444,17.970,14.698,15.653,13.989
Molvízar-18133,1.347,1.168,2.730,2.737,447,17.960,15.368,15.795,14.557
Cúllar-18056,2.246,1.967,3.936,2.749,455,17.872,15.179,15.771,14.528
Pinos Puente-18158,5.030,4.428,9.708,2.755,458,17.824,15.534,15.629,14.753
Campotéjar-18038,661,562,1.245,2.765,464,17.731,15.334,15.728,14.635
Chimeneas-18061,694,620,1.242,2.776,471,17.632,15.088,15.647,14.331
Puebla de Don Fadrique-18164,1.301,1.129,2.202,2.779,474,17.593,14.766,15.472,14.170
Moclín-18132,2.199,1.954,3.529,2.788,480,17.452,14.657,15.431,14.219
Cuevas del Campo-18912,1.057,957,1.775,2.802,489,17.294,14.542,15.382,14.205
Castilléjar-18045,608,548,1.289,2.808,493,17.233,14.153,15.208,13.899
Otívar-18148,513,454,1.038,2.816,500,17.123,15.896,15.241,15.022
Iznalloz-18105,2.670,2.245,5.154,2.818,502,17.089,15.350,15.164,14.585
Píñar-18159,554,494,1.060,2.833,514,16.789,14.469,15.101,13.881
Salar-18171,1.496,1.297,2.597,2.842,520,16.671,14.135,14.782,13.728
Cortes de Baza-18053,1.009,893,1.793,2.855,527,16.416,13.753,14.861,13.552
"Guajares, Los-18906",563,500,1.125,2.857,529,16.400,13.959,14.863,13.690
Castril-18046,1.136,1.035,1.968,2.864,533,16.199,12.724,14.364,12.358
Nevada-18903,496,453,1.096,2.872,539,16.003,13.645,14.280,13.025
Darro-18063,770,682,1.695,2.876,542,15.882,13.257,14.075,12.678
Montefrío-18135,3.175,2.720,5.305,2.885,546,15.513,12.780,14.049,12.435
Benalúa de las Villas-18028,588,487,1.021,2.887,548,15.500,13.396,14.193,13.074
Montillana-18137,616,510,1.057,2.890,550,15.410,12.970,14.095,12.360
Pedro Martínez-18152,477,405,1.147,2.896,555,15.189,13.407,13.936,13.114
Algarinejo-18012,1.402,1.181,2.335,2.902,560,14.940,12.889,13.712,12.660
Montejícar-18136,1.141,950,2.020,2.907,563,14.528,12.955,13.247,12.563
Colomera-18051,649,561,1.278,2.908,564,14.507,12.609,13.242,12.356
Guadahortuna-18088,899,774,1.830,2.909,565,14.339,12.142,13.113,11.952
Agrupación municipios pequeños-18,20.924,18.402,41.754,-,-,18.469,15.444,16.236,14.706
Huelva,312.501,280.751,533.448,,,23.339,17.599,19.487,16.093
Aljaraque-21002,12.912,11.544,22.489,286,9,33.918,27.763,26.925,23.141
