municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
Castilléjar,1288.0,671.0,617.0,9.807734420685556,131.32492630341525,340.0,884.0,453.0,17.233,0.0,0.0,2.0
Castillo de Locubín,4019.0,1994.0,2025.0,39.18984608066294,102.55207411960356,1223.0,2864.0,1256.0,17.442,0.0,0.0,2.0
Catral,8880.0,4450.0,4430.0,443.4856620588088,20.02319524553752,3361.0,7014.0,1617.0,21.266,3.9225153374999997,3.370747195,2.0
Cazalla de la Sierra,4752.0,2334.0,2418.0,13.342577042579192,356.1530868313737,1737.0,3842.0,947.0,20.422,0.0,0.0,1.0
Cazorla,7248.0,3512.0,3736.0,23.731961500367373,305.41091177346635,2731.0,6004.0,1570.0,21.529,2.9203514033333335,0.0,5.0
Cehegín,14798.0,7412.0,7386.0,49.30632903566339,300.12374251785343,5506.0,12075.0,2947.0,21.544,1.0773033513333334,0.209643606,3.0
Cerceda,4996.0,2466.0,2530.0,44.961563919805016,111.11713126596388,1324.0,3491.0,1532.0,25.756,0.7929334025,2.52328154,1.0
Cercedilla,7359.0,3645.0,3714.0,205.75390621150925,35.766028142547896,2568.0,5783.0,1165.0,33.037,7.140794293333333,5.8004243833333335,2.0
Cerdanyola del Vallès,57217.0,27911.0,29306.0,1854.0352618579896,30.86079384631605,21182.0,47075.0,10665.0,39.042,8.490504331470587,3.424869090882353,4.0
Cervelló,9233.0,4633.0,4600.0,382.866113647532,24.11547972224028,3249.0,7505.0,1465.0,38.804,4.654580564,6.948959156000001,2.0
Chilluévar,1392.0,685.0,707.0,35.896302521037605,38.7783671921139,533.0,1103.0,356.0,15.129,0.0,0.0,1.0
Cobisa,4377.0,2187.0,2190.0,297.3417260614655,14.720436509120152,1778.0,3935.0,334.0,35.791,2.89732647,3.8548540950000003,1.0
Cogollos de la Vega,2015.0,1029.0,986.0,40.40361971954911,49.871769261927085,818.0,1646.0,398.0,19.916,0.0,1.2,1.0
Colindres,8504.0,4203.0,4301.0,1435.6121392449902,5.923605525147189,3074.0,6971.0,1482.0,27.362,5.139634146000001,0.0,3.0
Collado Villalba,63825.0,30921.0,32904.0,2530.9952202503528,25.21735303541457,25329.0,54719.0,8355.0,31.325,8.366587890625,2.8829200275,3.0
Colmenar Viejo,52480.0,25888.0,26592.0,286.82050288645974,182.97157794460264,20573.0,43047.0,6451.0,39.354,7.199914245416667,5.887930109166667,6.0
Colunga,3236.0,1600.0,1636.0,33.47466734353821,96.67011674201632,735.0,2181.0,1151.0,25.248,3.2010345866666667,2.3409380333333334,2.0
Cómpeta,3866.0,1939.0,1927.0,71.28235302604891,54.23502221632943,1034.0,2656.0,1089.0,19.683,2.102520355,1.95113696,1.0
Conil de la Frontera,23182.0,11661.0,11521.0,265.3316906787135,87.36988763272444,8922.0,19047.0,3380.0,25.356,3.560190704375,1.852446685625,1.0
Consell,4243.0,2111.0,2132.0,309.6712112334825,13.70162884402228,1592.0,3403.0,605.0,32.008,5.896181193333334,5.059057076666667,1.0
Córdoba,322071.0,154617.0,167454.0,256.7078016196796,1254.6210047685188,121952.0,266005.0,59703.0,27.106,5.203163431027668,0.6362511448616601,23.0
Coria del Río,30774.0,15307.0,15467.0,491.0797230450728,62.66599608140504,12772.0,26365.0,4292.0,22.578,3.807630946666667,3.075477662222222,2.0
Cornellà de Llobregat,89300.0,43334.0,45966.0,12951.548310146558,6.894928533759953,31640.0,69556.0,17617.0,30.855,10.354305507846155,0.36659398,5.0
Coslada,81273.0,39711.0,41562.0,6753.112172019283,12.034895605132254,28953.0,67276.0,14584.0,30.516,8.400942639444445,0.4777548990740741,1.0
Cubelles,16051.0,8073.0,7978.0,1189.222828483801,13.497050019182872,5318.0,12490.0,2502.0,34.598,7.5002430559999995,4.933798162,2.0
Cudillero,4968.0,2461.0,2507.0,48.94509982580999,101.50147854801692,1179.0,3485.0,1593.0,27.325,1.75263053,1.366425658,3.0
Cuenca,53988.0,25588.0,28400.0,59.27035404609147,910.8769614910068,20393.0,44963.0,9935.0,26.994,4.919638736944445,0.699349558888889,4.0
Cuevas del Campo,1742.0,877.0,865.0,18.03195260153858,96.60628765469156,555.0,1280.0,494.0,17.294,0.0,0.0,2.0
