municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,municipio_key,provincia
Salvadiós,67.0,33.0,34.0,3.2868610829050176,20.3841897512698,15.0,41.0,34.0,18.469,0.0,0.0,1.0,salvadios,Ávila
Salvador de Zapardiel,110.0,64.0,46.0,4.17960229826795,26.318293500217617,21.0,78.0,52.0,24.412,0.0,0.0,6.0,salvador de zapardiel,Valladolid
Salvaleón,1692.0,848.0,844.0,23.566054609655588,71.7981871817757,608.0,1350.0,450.0,18.115,0.0,0.0,1.0,salvaleon,Badajoz
Salvaterra de Miño,10048.0,5027.0,5021.0,159.17226457993578,63.12657564128534,3144.0,7541.0,2150.0,24.086,1.14475735625,0.84269868,3.0,salvaterra de mino,Pontevedra
Salvatierra de Esca,210.0,106.0,104.0,2.5849613149960096,81.23912678373068,66.0,144.0,54.0,22.433,0.0,0.0,1.0,salvatierra de esca,Zaragoza
Salvatierra de los Barros,1608.0,788.0,820.0,21.451495718625523,74.95980798223941,595.0,1304.0,360.0,18.774,0.0,0.0,1.0,salvatierra de los barros,Badajoz
Salvatierra de Santiago,284.0,145.0,139.0,8.512073869321236,33.36437210954873,56.0,175.0,148.0,16.419,0.0,0.0,1.0,salvatierra de santiago,Cáceres
Salvatierra de Tormes,76.0,39.0,37.0,2.1919999483910018,34.67153366303062,6.0,39.0,36.0,18.514,0.0,0.0,1.0,salvatierra de tormes,Salamanca
Samaniego,308.0,147.0,161.0,29.1169076729512,10.57804638664028,100.0,227.0,92.0,24.464,0.0,0.0,2.0,samaniego,Araba/Álava
samano,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,samano,
samartin,3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,2.0,samartin,
samartin (teverga),3780.0,1850.0,1930.0,48.33043973572708,44.75873198035128,Unknown,9870.0,1788.0,25.508,2.9615547875,0.67626172125,1.0,samartin (teverga),
Samboal,448.0,240.0,208.0,9.439280117395311,47.46124645399566,125.0,325.0,138.0,21.867,0.0,0.0,1.0,samboal,Segovia
Samir de los Caños,169.0,93.0,76.0,4.620174808688505,36.578702537874925,33.0,105.0,75.0,21.648,0.0,0.0,2.0,samir de los canos,Zamora
Samos,1222.0,648.0,574.0,8.93488774018233,136.76724717025525,228.0,765.0,528.0,18.92,0.0,0.0,1.0,samos,Lugo
Samper de Calanda,731.0,373.0,358.0,5.119271210232838,142.79376301431628,186.0,505.0,278.0,27.619,0.0,0.0,2.0,samper de calanda,Teruel
Samper del Salz,101.0,54.0,47.0,8.789325739200473,11.491211384911937,24.0,65.0,47.0,22.433,0.0,0.0,2.0,samper del salz,Zaragoza
San Adrián,6369.0,3179.0,3190.0,301.0046164300276,21.159143921238023,2366.0,5155.0,1086.0,31.251,0.0,0.0,1.0,san adrian,Navarra
San Adrián de Juarros,94.0,61.0,33.0,4.726617433701059,19.887372168048653,15.0,64.0,24.0,21.137,0.0,0.0,2.0,san adrian de juarros,Burgos
San Adrián del Valle,100.0,57.0,43.0,6.315769254646634,15.833384021499528,14.0,54.0,52.0,23.832,0.0,0.0,2.0,san adrian del valle,León
San Agustín,138.0,85.0,53.0,2.437620744185377,56.61258025030382,29.0,90.0,35.0,27.619,0.0,0.0,1.0,san agustin,Teruel
San Agustín del Guadalix,13538.0,6640.0,6898.0,353.7419915876478,38.27083106316951,5799.0,12084.0,1189.0,47.907,9.266175376666666,7.686680329999999,1.0,san agustin del guadalix,Madrid
San Agustín del Pozo,183.0,94.0,89.0,12.648012436234598,14.46867647565979,48.0,138.0,47.0,21.648,0.0,0.0,2.0,san agustin del pozo,Zamora
San Amaro,1048.0,502.0,546.0,36.09457076495947,29.03483758885412,214.0,625.0,466.0,21.248,0.0,0.0,1.0,san amaro,Ourense
San Andrés del Congosto,74.0,47.0,27.0,4.847423245270253,15.265842542675342,9.0,43.0,29.0,22.597,0.0,0.0,2.0,san andres del congosto,Guadalajara
San Andrés del Rabanedo,30160.0,14358.0,15802.0,465.1163784743759,64.84398614154924,10336.0,25324.0,5496.0,26.742,4.976899503684211,1.3451557763157895,3.0,san andres del rabanedo,León
San Andrés del Rey,39.0,21.0,18.0,2.650938740313227,14.71176961086316,4.0,17.0,18.0,22.597,0.0,0.0,2.0,san andres del rey,Guadalajara
San Andrés y Sauces,4213.0,2101.0,2112.0,98.26715602789452,66.63785118065277,1130.0,2960.0,1152.0,23.55,3.0885176475,2.0033999525,1.0,san andres y sauces,Santa Cruz de Tenerife
San Antonio de Benagéber,9501.0,4680.0,4821.0,1086.8395308102754,8.741860900952586,3757.0,7936.0,910.0,43.093,1.290173435,6.57646038,2.0,san antonio de benageber,Valencia/València
San Asensio,1111.0,590.0,521.0,34.371456878917165,32.323331650264365,305.0,746.0,378.0,20.796,3.07576477,0.0,4.0,san asensio,"Rioja, La"
San Bartolomé,19058.0,9528.0,9530.0,467.5589657435865,3.853838202709724,7363.0,16432.0,1895.0,28.544,7.070481552,6.66251323,1.0,san bartolome,
San Bartolomé,19058.0,9528.0,9530.0,467.5589657435865,3.853838202709724,7363.0,16432.0,1895.0,28.544,7.070481552,6.66251323,1.0,san bartolome,"Palmas, Las"
San Bartolomé,19058.0,9528.0,9530.0,467.5589657435865,3.853838202709724,7363.0,16432.0,1895.0,28.544,7.070481552,6.66251323,1.0,san bartolome,
San Bartolomé,19058.0,9528.0,9530.0,467.5589657435865,3.853838202709724,7363.0,16432.0,1895.0,28.544,7.070481552,6.66251323,1.0,san bartolome,"Palmas, Las"
San Bartolomé de Béjar,44.0,22.0,22.0,2.668203066426587,16.490499000485507,5.0,23.0,19.0,18.469,0.0,0.0,1.0,san bartolome de bejar,Ávila
San Bartolomé de Corneja,40.0,24.0,16.0,5.434445079635602,7.36045712374411,5.0,22.0,21.0,18.469,0.0,0.0,1.0,san bartolome de corneja,Ávila
San Bartolomé de la Torre,3846.0,1917.0,1929.0,67.9333733774571,56.614294400346246,1424.0,3058.0,621.0,19.705,0.0,1.584051725,1.0,san bartolome de la torre,Huelva
San Bartolomé de las Abiertas,427.0,223.0,204.0,7.509210262081611,56.86350296464229,116.0,284.0,154.0,20.273,0.0,0.0,2.0,san bartolome de las abiertas,Toledo
San Bartolomé de Pinares,521.0,284.0,237.0,6.977882988059074,74.66447931149935,137.0,363.0,190.0,18.469,0.0,0.0,2.0,san bartolome de pinares,Ávila
